X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
223429.5412936,2319842.31086041,"288","3105000014034",69,34,20,18
223332.084891691,2319111.60852416,"289","3105000014049",28,25,10,18
230682.029404721,2323408.71797408,"290","3105000014068",10,3,5,7
230138.627587406,2323063.1398742,"291","3105000014072",5,3,1,9
226213.584768335,2323791.79437486,"292","3105000014087",12,12,4,13
225975.112714571,2323293.04182491,"293","3105000014091",8,8,5,8
228669.928887796,2322684.01757482,"294","3105000014104",17,14,2,28
229081.519299035,2322824.04002468,"295","3105000014119",22,10,8,46
225927.570679573,2318452.57747554,"296","3105000014123",15,6,5,28
225451.104460375,2317842.31152519,"297","3105000014138",23,11,5,22
232590.309452244,2320885.41392469,"298","3105000014142",22,6,2,7
232823.485986173,2320912.90192501,"299","3105000014157",17,6,5,4
222885.58166694,2320355.90258543,"300","3105000014161",23,17,6,15
223777.477443782,2320406.99075895,"301","3105000014176",19,14,4,25
231648.431178039,2324800.43272581,"302","3105000014180",14,4,2,4
232237.489361511,2325264.39837556,"303","3105000014195",8,4,0,4
224134.024146603,2319883.07257507,"304","3105000014208",52,23,15,35
224621.997838703,2320118.14277412,"305","3105000014212",40,32,17,28
223894.655924084,2324368.48732393,"306","3105000014227",11,3,1,1
223734.053933684,2324153.29997392,"307","3105000014231",10,7,1,4
231912.618404595,2318415.22587531,"308","3105000014250",13,8,7,4
220993.679690529,2321673.56507532,"309","3105000014265",4,4,3,0
227551.128152078,2331552.79841181,"310",310500001427A,0,0,0,0
227605.283985145,2330492.08257165,"311","3105000014284",1,1,0,0
234834.790436438,2323446.59001304,"312","3105000014299",0,3,0,1
221523.403279814,2322568.82547362,"313","3105000014301",10,3,2,1
220781.308890148,2321878.65440629,"314","3105000014316",18,9,3,4
221394.509382829,2322723.85017393,"315","3105000014320",5,3,0,0
220496.717206951,2321602.80948024,"316","3105000014335",3,7,3,3
224008.112612773,2315210.33762438,"317","3105000014354",12,0,0,5
225486.563969022,2330623.33829649,"318","3105000014477",4,2,3,3
225301.296556871,2326521.85492561,"319","3105000014481",11,10,4,14
225478.286742493,2326856.63627364,"320","3105000014496",12,4,2,5
224601.602112,2326533.63212445,"321","3105000014509",6,3,2,5
224221.175258746,2326801.76407406,"322","3105000014513",17,8,3,7
220724.040560033,2321492.49722443,"323","3105000014528",5,4,5,2
221104.38579311,2322061.10291807,"324","3105000014532",4,2,2,0
221606.030189654,2322762.00537419,"325","3105000014547",16,2,1,5
226115.030398687,2328872.74230665,"326","3105000014566",9,10,11,6
225527.535534112,2328267.00127463,"327","3105000014570",11,7,1,4
232431.391556216,2328388.04637203,"328","3105000014585",0,0,0,0
230316.330784858,2327797.5487985,"329","3105000014602",3,1,0,2
229706.954649934,2325183.41204859,"330","3105000014617",5,7,1,2
230153.466884314,2325307.06262388,"331","3105000014621",6,2,3,1
232374.420905644,2323626.45002545,"332","3105000014636",10,11,2,9
232778.25244751,2323745.67902458,"333","3105000014640",5,4,3,10
233376.443676049,2325058.80417461,"334",310500001466A,13,7,3,17
234967.673142976,2323852.85591593,"335","3105000014674",0,0,0,0
221739.560882521,2319344.748757,"336","3105000014689",47,27,11,15
222961.508010909,2319409.31260464,"337","3105000014693",21,17,4,19
220434.820833097,2319125.71822422,"338","3105000014706",2,7,0,7
224007.017217282,2314958.58675569,"339","3105000014710",6,1,0,1
226096.382331126,2314305.01137002,"340","3105000014725",35,12,4,36
226880.694744844,2314473.81429322,"341",310500001473A,9,6,0,10
225417.983498248,2312919.59420227,"342","3105000014759",1,1,0,1
223935.665655992,2311880.0336192,"343","3105000014763",0,0,1,0
